MADRID_cloud_cover,MADRID_global_radiation,MADRID_humidity,MADRID_precipitation,MADRID_pressure,MADRID_sunshine,MADRID_temp_max,MADRID_temp_mean,MADRID_temp_min
3,1.02,0.68,0.0,1.0155,5.1,9.6,6.3,3.0
6,0.73,0.92,0.0,1.0273,2.5,6.1,2.9,-0.3
2,1.19,0.87,0.0,1.0262,7.1,10.0,6.2,2.4
8,0.32,0.94,0.25,1.0229,0.0,8.1,6.4,4.7
8,0.31,0.94,0.01,1.0215,0.0,10.3,9.0,7.7
8,0.43,0.9,0.0,1.0203,0.5,13.5,11.5,9.5
8,0.31,0.94,0.02,1.0199,0.0,13.0,11.8,10.6
4,1.07,0.73,0.0,1.0211,6.2,13.6,10.6,7.6
6,0.58,0.65,0.67,1.0191,1.6,13.0,9.8,6.6
7,0.3,0.9,2.31,1.0099,0.0,10.4,8.7,7.0
8,0.3,0.87,0.0,1.0189,0.0,9.5,7.9,6.3
5,1.11,0.81,0.0,1.0193,7.0,17.6,13.3,9.0
6,0.29,0.85,0.02,1.0217,0.0,11.0,8.9,6.8
7,0.29,0.91,0.0,1.0234,0.0,11.0,9.1,7.2
7,0.29,0.94,0.0,1.025,0.0,12.0,9.9,7.8
6,0.84,0.85,0.0,1.0181,4.3,13.7,11.1,8.5
4,1.07,0.64,0.0,1.022,7.0,11.4,8.5,5.6
3,1.03,0.59,0.0,1.03,6.5,10.0,6.2,2.4
1,1.21,0.63,0.0,1.031,8.9,10.6,6.3,2.0
5,1.0,0.68,0.67,1.0241,6.3,9.4,5.8,2.2
5,0.99,0.79,0.0,1.0211,6.3,10.0,7.1,4.2
0,1.18,0.67,0.0,1.0285,8.9,9.0,5.5,2.0
2,1.16,0.77,0.0,1.0269,8.7,9.6,5.8,2.0
8,0.29,0.94,0.63,1.0188,0.0,6.2,3.9,1.6
3,1.11,0.7,0.25,1.0114,8.1,9.1,5.8,2.5
8,0.29,0.94,2.07,0.9979,0.0,2.8,1.7,0.6
2,1.14,0.64,0.0,1.0071,8.7,5.7,3.1,0.5
2,0.97,0.67,0.0,1.0142,6.3,8.0,4.1,0.2
7,0.64,0.79,0.0,1.0107,2.5,12.4,7.9,3.4
2,1.07,0.5,0.0,1.0188,7.8,8.2,4.5,0.8
8,0.34,0.8,0.0,1.0181,0.2,4.8,2.5,0.2
5,0.68,0.88,0.29,1.0127,2.9,5.5,2.1,-1.3
4,0.93,0.63,0.0,1.0083,5.9,5.8,3.3,0.8
6,0.82,0.57,0.0,1.0127,4.6,6.0,3.3,0.6
4,0.5,0.63,0.0,1.0129,1.3,6.6,3.3,0.0
5,0.79,0.65,0.12,1.0113,4.2,7.9,5.6,3.3
5,0.82,0.82,0.0,1.0129,4.6,7.1,4.7,2.3
8,0.28,0.86,0.21,1.017,0.0,5.6,3.4,1.2
3,0.98,0.66,0.0,1.0123,6.7,7.3,4.8,2.3
3,1.0,0.57,0.0,1.0153,6.9,7.5,4.7,1.9
3,1.05,0.6,0.0,1.0231,7.6,8.5,4.5,0.5
4,1.05,0.76,0.13,1.019,7.6,7.9,3.3,-1.3
6,0.45,0.88,0.0,1.0108,0.9,4.3,2.4,0.5
5,0.86,0.64,0.0,1.0226,5.0,8.2,4.9,1.6
7,0.34,0.87,0.33,1.0236,0.2,4.8,2.0,-0.8
4,0.8,0.77,0.05,1.017,4.3,10.4,7.0,3.6
4,1.02,0.67,0.1,1.0223,7.1,7.5,5.0,2.5
5,0.49,0.59,0.0,1.0239,1.1,10.6,8.1,5.6
5,1.07,0.66,0.0,1.0245,7.6,12.0,9.2,6.4
8,0.37,0.91,0.5,1.0184,0.3,8.6,6.5,4.4
2,1.13,0.66,0.0,1.0211,8.4,8.8,6.3,3.8
8,0.61,0.82,0.03,1.0241,2.1,6.2,4.7,3.2
5,0.81,0.76,0.1,1.0096,4.2,10.3,7.4,4.5
2,1.02,0.52,0.0,1.0172,6.7,8.2,5.3,2.4
0,1.13,0.66,0.0,1.0252,8.2,8.2,4.8,1.4
5,0.86,0.83,0.0,1.0271,4.7,6.4,2.5,-1.4
4,0.58,0.77,0.0,1.0258,1.7,11.8,8.4,5.0
8,0.3,0.96,0.11,1.0274,0.0,8.0,5.9,3.8
5,0.3,0.86,0.0,1.0273,0.0,6.1,3.4,0.7
6,0.73,0.82,0.03,1.0157,3.0,8.1,5.1,2.1
2,1.19,0.62,0.0,1.0183,8.5,9.2,6.0,2.8
0,1.21,0.52,0.0,1.0255,8.7,7.3,3.5,-0.3
0,1.21,0.48,0.0,1.0285,8.7,7.4,3.4,-0.6
1,1.23,0.6,0.0,1.0248,8.8,8.4,4.2,0.0
2,1.22,0.77,0.0,1.0202,8.6,6.5,2.4,-1.7
6,0.31,0.86,0.0,1.0236,0.0,3.4,0.6,-2.2
